煤田,矿区,采厚,面长,走向长,推进速度,开采方式,硬岩比,覆岩类型,抗压强度,采深,煤倾,导高
4,4,9.1,104,0.143044835,0.194805195,6,0.01,0.4,4.78,610,23,128.74
4,4,12.48,98.1,0.138282148,0.194805195,6,0.01,0.4,4.78,634,21,133.3
4,4,11,100,0.13302677,0.194805195,1,0.01,0.4,4.78,610,15,126.1
35,26,12,200,0.111348333,0.233766234,6,0.399,0.4,10.15,552.19,4,239.42
35,26,6.5,200,0.111348333,0.233766234,6,0.399,0.6,10.15,552,4.5,192.2
35,26,8.4,200,0.1133191,0.233766234,6,0.399,0.4,10.15,552.19,4,170.77
35,26,6.5,200,0.1133191,0.233766234,6,0.399,0.4,11.2,552.19,4.5,190.51
35,26,15.86,200,0.1133191,0.233766234,6,0.399,0.4,11.2,552,5,368.42
35,26,10.86,150,0.114961406,0.155844156,6,0.399,0.4,10.15,552.19,4,230.97
35,26,8.6,150,0.114961406,0.155844156,6,0.399,0.4,10.15,552.19,5,188.54
35,26,10.3,150,0.114961406,0.155844156,6,0.399,0.4,10.15,552,6,204.97
35,26,14.8,235,0.28904582,0.199350649,6,0.28,0.4,28.6,573.5,10,135.78
35,26,11.52,165,0.186237477,0.233766234,6,0.35,0.4,35.3,547,16,267.72
35,26,11.36,186,0.227459353,-0.038961039,6,0.27,0.4,27.6,547,16,264.01
35,26,11.17,201,0.219083593,-0.038961039,6,0.28,0.6,28.5,547,10,236.35
35,26,10.62,155,0.140252915,0.207792208,7,0.27,0.6,27.4,547,6,246.81
35,16,4.36,120,0.009853835,-0.038961039,6,0.67,0.6,26.32,983,5,88.03
35,16,7.5,248,-0.047626868,-0.038961039,6,0.67,0.6,33.08,861,6,112.6
35,16,10,116,0.09361143,-0.038961039,6,0.58,0.6,35,470,5,150.3
35,16,6,200,-0.047626868,-0.038961039,6,0.6,0.6,35,550,5,136.2
35,16,6,120,0.032353424,-0.038961039,6,0.61,0.6,35,575,5,135.23
35,16,7.6,116,-0.047626868,0.266233766,7,0.62,0.6,35,463,7,96.4
35,16,9,200,-0.047626868,-0.038961039,6,0.39,0.6,35,702,7,148.3
35,16,7.5,200,-0.047626868,-0.038961039,6,0.35,0.6,35,533.2,7,140.2
35,16,6,200,0.305468878,-0.038961039,6,0.41,0.6,35,575,3,135.23
35,16,3.5,180,0.142880604,-0.038961039,6,0.38,0.6,35,500,5,100
35,16,9.1,204,0.196255543,-0.038961039,6,0.42,0.6,35,529.5,5,254.04
35,16,9.9,93.4,-0.047626868,-0.038961039,6,0.43,0.6,35,330,6,125.81
35,16,10.1,235,0.222532436,-0.038961039,6,0.45,0.6,21.4,525,0.5,225.43
35,16,13,180,0.198062079,0.168831169,6,0.62,0.6,35.6,650,4,133
35,16,8,190,0.197569387,-0.038961039,6,0.62,0.6,36.2,650,3,106.4
35,16,3.9,180,0.242732797,-0.038961039,6,0.25,0.6,24.6,400,3,110
35,16,9.1,180,-0.047626868,-0.038961039,6,0.24,0.6,24.6,391.5,2,245.52
35,16,11.22,180,0.267695845,-0.038961039,6,0.29,0.6,29.4,391.5,5,189.05
35,16,12.55,180,0.2266382,-0.038961039,6,0.29,0.6,29.4,391.5,7,191
35,16,12.12,180,0.385941862,-0.038961039,6,0.29,0.6,29.4,391.5,4,193.76
35,16,12.77,93.4,0.110034488,-0.038961039,6,0.75,0.6,35,330,2,125.81
35,16,8.7,96.2,-0.047626868,-0.038961039,6,0.78,0.6,35,347,2,97.47
35,16,8.9,95,-0.047626868,-0.038961039,6,0.76,0.6,35,330,6,149.48
35,16,8.6,160,0.029561504,-0.038961039,6,0.31,0.6,30.8,314.5,12,141.4
35,16,3.7,240,0.412218755,-0.038961039,7,0.45,0.6,45.6,730,1,180.66
35,16,3.8,240,0.26359008,0.448051948,6,0.16,0.4,15.7,700,0.5,180
35,16,7,240,-0.047626868,-0.038961039,6,0.17,0.4,16.8,705,0.5,202
35,16,10,200,-0.047626868,-0.038961039,6,0.35,0.6,35,628.16,4,220
20,46,5.7,153,-0.047626868,-0.038961039,6,0.16,0.4,15,370,6,70
